actor,movie
Elise,Pure Energy (1989)
Fallon,Pure Energy (1989)
James Dean,Pure Energy (1989)
Danny Glover,Pure Luck (1991)
Martin Short,Pure Luck (1991)
Sheila Kelley,Pure Luck (1991)
Dolores Heredia,Purgatorio (2008)
Miguel Rodarte,Purgatorio (2008)
Pedro Armendáriz Jr.,Purgatorio (2008)
Gary Cairns,Purgatory Road (2017)
Luke Albright,Purgatory Road (2017)
Trista Robinson,Purgatory Road (2017)
Angus Macfadyen,Purge of Kingdoms (2019)
Anna Hutchison,Purge of Kingdoms (2019)
Lou Ferrigno,Purge of Kingdoms (2019)
Cara Gonzales,Purificacion (2022)
Josef Elizalde,Purificacion (2022)
Gayathrie,Puriyaatha Puthir (2017)
Mahima Nambiar,Puriyaatha Puthir (2017)
Vijay Sethupathi,Puriyaatha Puthir (2017)
R. Sarathkumar,Puriyatha Puthir (1990)
Raghuvaran,Puriyatha Puthir (1990)
Rahman,Puriyatha Puthir (1990)
Tôru Nakamura,Purple Butterfly (2003)
Ziyi Zhang,Purple Butterfly (2003)
Demetrius Navarro,Purple Heart (2005)
Mel Harris,Purple Heart (2005)
William Sadler,Purple Heart (2005)
Ned Beatty,Purple People Eater (1988)
Neil Patrick Harris,Purple People Eater (1988)
Shelley Winters,Purple People Eater (1988)
Isabella Ragonese,Purple Sea (2009)
Valeria Solarino,Purple Sea (2009)
Christian Slater,Pursued (2004)
Estella Warren,Pursued (2004)
Gil Bellows,Pursued (2004)
Hie Bang,Pursuit of Death (1980)
Kim Hee-ra,Pursuit of Death (1980)
Yun-seok Choi,Pursuit of Death (1980)
Amy Jo Johnson,Pursuit of Happiness (2001)
Annabeth Gish,Pursuit of Happiness (2001)
Frank Whaley,Pursuit of Happiness (2001)
Camilla Belle,Push (2009)
Chris Evans,Push (2009)
Dakota Fanning,Push (2009)
Billy Bob Thornton,Pushing Tin (1999)
Cate Blanchett,Pushing Tin (1999)
John Cusack,Pushing Tin (1999)
Allu Arjun,Pushpa: The Rise - Part 1 (2021)
Fahadh Faasil,Pushpa: The Rise - Part 1 (2021)
Rashmika Mandanna,Pushpa: The Rise - Part 1 (2021)
Allu Arjun,Pushpa: The Rule - Part 2 (2024)
Fahadh Faasil,Pushpa: The Rule - Part 2 (2024)
Rashmika Mandanna,Pushpa: The Rule - Part 2 (2024)
Amala Akkineni,Pushpaka Vimana (1987)
Kamal Haasan,Pushpaka Vimana (1987)
Tinnu Anand,Pushpaka Vimana (1987)
Ajay,Pushpaka Vimanam (2021)
Bhadram,Pushpaka Vimanam (2021)
Varsha Bollamma,Pushpaka Vimanam (2021)
Baron Geisler,Pusoy (2022)
Janelle Tee,Pusoy (2022)
Vince Rillon,Pusoy (2022)
Kelly Nichols,Puss 'n Boots (1982)
Tara Aire,Puss 'n Boots (1982)
Tish Ambrose,Puss 'n Boots (1982)
Antonio Banderas,Puss in Boots (2011)
Salma Hayek,Puss in Boots (2011)
Zach Galifianakis,Puss in Boots (2011)
Brooke Fields,Pussycat Galore (1984)
Danielle,Pussycat Galore (1984)
Honey Wilder,Pussycat Galore (1984)
Fabio De Luigi,Put Grandma in the Freezer (2018)
Lucia Ocone,Put Grandma in the Freezer (2018)
Miriam Leone,Put Grandma in the Freezer (2018)
Oleg Tabakov,Puteshestviye gospodina Perrishona (1987)
Tatyana Vasileva,Puteshestviye gospodina Perrishona (1987)
Valentin Gaft,Puteshestviye gospodina Perrishona (1987)
Jayaram,Putham Pudhu Kaalai (2020)
Kalidas Jayaram,Putham Pudhu Kaalai (2020)
Madhavan,Putham Pudhu Kaalai (2020)
Jayaram,Puthiya Karukkal (1989)
Lalu Alex,Puthiya Karukkal (1989)
Parvathi,Puthiya Karukkal (1989)
Bala,Puthiya Mugham (2009)
Prithviraj Sukumaran,Puthiya Mugham (2009)
Priyamani,Puthiya Mugham (2009)
Mammootty,Puthiya Niyamam (2016)
Nayanthara,Puthiya Niyamam (2016)
Sheelu Abraham,Puthiya Niyamam (2016)
Chandrasekhar,Puthiya Sangamam (1984)
Prabhu,Puthiya Sangamam (1984)
Suhasini,Puthiya Sangamam (1984)
Devan,Puthooramputhri Unniyarcha (2002)
Siddique,Puthooramputhri Unniyarcha (2002)
Vani Viswanath,Puthooramputhri Unniyarcha (2002)
Advent Bangun,Putri Duyung (1985)
Barry Prima,Putri Duyung (1985)
Eva Arnaz,Putri Duyung (1985)
Debu Bose,Putuler Protisodh (1998)
Rachana Banerjee,Putuler Protisodh (1998)
Siddhanta Mahapatra,Putuler Protisodh (1998)
Anuradha,Puyalkadantha Boomi (1984)
Archana,Puyalkadantha Boomi (1984)
Karthik,Puyalkadantha Boomi (1984)
Dhanya Balakrishna,Puzhikkadakan (2019)
Jayasurya,Puzhikkadakan (2019)
Rajesh Madhavan,Puzhikkadakan (2019)
Kaho,Puzzle (2014)
Kazuya Takahashi,Puzzle (2014)
Shûhei Nomura,Puzzle (2014)
David Denman,Puzzle (2018)
Irrfan Khan,Puzzle (2018)
Kelly Macdonald,Puzzle (2018)
Julia Fox,Pvt Chat (2020)
Peter Vack,Pvt Chat (2020)
Govinda,Pyaar Diwana Hota Hai (2002)
Om Puri,Pyaar Diwana Hota Hai (2002)
Rani Mukerji,Pyaar Diwana Hota Hai (2002)
Anupam Kher,Pyaar Impossible (2010)
Jugal Hansraj,Pyaar Impossible (2010)
Priyanka Chopra Jonas,Pyaar Impossible (2010)
Arjun Rampal,Pyaar Ishq Aur Mohabbat (2001)
Kirti Reddy,Pyaar Ishq Aur Mohabbat (2001)
Suniel Shetty,Pyaar Ishq Aur Mohabbat (2001)
Govinda,Pyaar Karke Dekho (1987)
Kader Khan,Pyaar Karke Dekho (1987)
Mandakini,Pyaar Karke Dekho (1987)
Mallika Sherawat,Pyaar Ke Side Effects (2006)
Rahul Bose,Pyaar Ke Side Effects (2006)
Ranvir Shorey,Pyaar Ke Side Effects (2006)
Arbaaz Khan,Pyaar Kiya To Darna Kya (1998)
Kajol,Pyaar Kiya To Darna Kya (1998)
Salman Khan,Pyaar Kiya To Darna Kya (1998)
Apurva Agnihotri,Pyaar Koi Khel Nahin (1999)
Mahima Chaudhry,Pyaar Koi Khel Nahin (1999)
Sunny Deol,Pyaar Koi Khel Nahin (1999)
Jeetendra,Pyaasa Sawan (1981)
Reena Roy,Pyaasa Sawan (1981)
Amit Pachori,Pyaasi Bhootni (2003)
Sapna Sappu,Pyaasi Bhootni (2003)
Amol Palekar,Pyaassi Ankhen (1983)
Shabana Azmi,Pyaassi Ankhen (1983)
Waheeda Rehman,Pyaassi Ankhen (1983)
Mithun Chakraborty,Pyar Jhukta Nahin (1985)
Padmini Kolhapure,Pyar Jhukta Nahin (1985)
Dharmendra,Pyar Ka Karz (1990)
Meenakshi Sheshadri,Pyar Ka Karz (1990)
Mithun Chakraborty,Pyar Ka Karz (1990)
Bharat Bhushan,Pyar Ka Mandir (1988)
Madhavi,Pyar Ka Mandir (1988)
Mithun Chakraborty,Pyar Ka Mandir (1988)
Dimple Kapadia,Pyar Ke Naam Qurban (1990)
Mandakini,Pyar Ke Naam Qurban (1990)
Mithun Chakraborty,Pyar Ke Naam Qurban (1990)
Rekha,Pyar Ki Jeet (1987)
Shashi Kapoor,Pyar Ki Jeet (1987)
Vinod Mehra,Pyar Ki Jeet (1987)
Esha Deol,Pyare Mohan (2006)
Fardeen Khan,Pyare Mohan (2006)
Vivek Oberoi,Pyare Mohan (2006)
Mithun Chakraborty,Pyari Behna (1985)
Padmini Kolhapure,Pyari Behna (1985)
Tanvi Azmi,Pyari Behna (1985)
Bruce Payne,Pyrates (1991)
Kevin Bacon,Pyrates (1991)
Kyra Sedgwick,Pyrates (1991)
Fanny Ardant,Pédale douce (1996)
Patrick Timsit,Pédale douce (1996)
Richard Berry,Pédale douce (1996)
Dany Boon,Pédale dure (2004)
Gérard Darmon,Pédale dure (2004)
Michèle Laroque,Pédale dure (2004)
Jacques Dufilho,Pétain (1993)
Jean Yanne,Pétain (1993)
Jean-Pierre Cassel,Pétain (1993)
Aake Kalliala,Pölhölä (1981)
Heikki Kinnunen,Pölhölä (1981)
Armand Assante,Q&A (1990)
Nick Nolte,Q&A (1990)
Timothy Hutton,Q&A (1990)
Candy Clark,Q: The Winged Serpent (1982)
David Carradine,Q: The Winged Serpent (1982)
Michael Moriarty,Q: The Winged Serpent (1982)
Arman Kohli,Qahar (1997)
Suniel Shetty,Qahar (1997)
Sunny Deol,Qahar (1997)
Farid Shawqi,Qahwat el-Mawardi (1981)
Mamdouh Abdel Alim,Qahwat el-Mawardi (1981)
Nabila Ebeid,Qahwat el-Mawardi (1981)
Irrfan Khan,Qarib Qarib Single (2017)
Neha Dhupia,Qarib Qarib Single (2017)
Parvathy Thiruvothu,Qarib Qarib Single (2017)
Dharmendra,Qayamat (1983)
Smita Patil,Qayamat (1983)
Prem Chopra,Qayamat Hi Qayamat (2012)
Ranjeet Bedi,Qayamat Hi Qayamat (2012)
Zakir Hussain,Qayamat Hi Qayamat (2012)
Ajay Devgn,Qayamat: City Under Threat (2003)
Sanjay Kapoor,Qayamat: City Under Threat (2003)
Suniel Shetty,Qayamat: City Under Threat (2003)
Ko Chun-Hsiung,Qi bu gan ge (1982)
Terry Hu,Qi bu gan ge (1982)
Wang Kuan-Hsiung,Qi bu gan ge (1982)
Chun-Erh Lung,Qi xia ba yi (1978)
Lo Lieh,Qi xia ba yi (1978)
Sing Chen,Qi xia ba yi (1978)
Alex Fong,Qi xia wu yi: Wu shu nao Dong Jing (1993)
Mark Ho-nam Cheng,Qi xia wu yi: Wu shu nao Dong Jing (1993)
Wei Fan,Qi xia wu yi: Wu shu nao Dong Jing (1993)
Monica Chan,Qian long duo bao (2000)
Pinky Cheung,Qian long duo bao (2000)
Sherming Yiu,Qian long duo bao (2000)
Dilip Kumar,Qila (1998)
Mukul Dev,Qila (1998)
Charlie Chin,Qing dou chu kai (1978)
Debbie Chou,Qing dou chu kai (1978)
Niu Tien,Qing dou chu kai (1978)
Fong Lui,Qing mi ge bun yue (2003)
Teresa Mak,Qing mi ge bun yue (2003)
Yim Lai Cheng,Qing mi ge bun yue (2003)
Ammy Virk,Qismat (2018)
Guggu Gill,Qismat (2018)
Sargun Mehta,Qismat (2018)
Ammy Virk,Qismat 2 (2021)
Sargun Mehta,Qismat 2 (2021)
Tania,Qismat 2 (2021)
Irrfan Khan,Qissa: The Tale of a Lonely Ghost (2013)
Tillotama Shome,Qissa: The Tale of a Lonely Ghost (2013)
Tisca Chopra,Qissa: The Tale of a Lonely Ghost (2013)
Chun Sun,Qiuxi (2009)
Xiaodong Guo,Qiuxi (2009)
Yiyan Jiang,Qiuxi (2009)
Arnoldo Foà,Quale amore (2006)
Giorgio Pasotti,Quale amore (2006)
Vanessa Incontrada,Quale amore (2006)
Antonio Albanese,Qualunquemente (2011)
Lorenza Indovina,Qualunquemente (2011)
Sergio Rubini,Qualunquemente (2011)
Cécile de France,Quand j'étais chanteur (2006)
Gérard Depardieu,Quand j'étais chanteur (2006)
Mathieu Amalric,Quand j'étais chanteur (2006)
Arly Jover,Quand je serai petit (2012)
Benoît Poelvoorde,Quand je serai petit (2012)
Jean-Paul Rouve,Quand je serai petit (2012)
Akio Chen,Quanli guocheng (2012)
Hsiu-Shen Liang,Quanli guocheng (2012)
Ivy Yin,Quanli guocheng (2012)
Amanda Peet,Quantum Quest: A Cassini Space Odyssey (2010)
Chris Pine,Quantum Quest: A Cassini Space Odyssey (2010)
Samuel L. Jackson,Quantum Quest: A Cassini Space Odyssey (2010)
Daniel Craig,Quantum of Solace (2008)
Mathieu Amalric,Quantum of Solace (2008)
Olga Kurylenko,Quantum of Solace (2008)
Columbus Short,Quarantine (2008)
Hamid Goudarzi,Quarantine (2008)
Jennifer Carpenter,Quarantine (2008)
Reza Attaran,Quarantine (2008)
Reza Rooygari,Quarantine (2008)
Steve Harris,Quarantine (2008)
Lisa London,Quarantine Girl (2020)
Nicole D'Angelo,Quarantine Girl (2020)
Shane Ryan-Reid,Quarantine Girl (2020)
Coluche,Quarter to Two Before Jesus Christ (1982)
Michel Serrault,Quarter to Two Before Jesus Christ (1982)
Billy Connolly,Quartet (2012)
Maggie Smith,Quartet (2012)
Michael Gambon,Quartet (2012)
Ayame Gôriki,Quartet! (2011)
Mahiro Takasugi,Quartet! (2011)
Shigeki Hosokawa,Quartet! (2011)
Dawna Lee Heising,Quartz Vein (2021)
Jared Masters,Quartz Vein (2021)
Brian Cox,Quasi (2023)
Steve Lemme,Quasi (2023)
Caleb Landry Jones,Queen & Country (2014)
Callum Turner,Queen & Country (2014)
Pat Shortt,Queen & Country (2014)
Ellen Burstyn,Queen Bees (2021)
Jane Curtin,Queen Bees (2021)
Loretta Devine,Queen Bees (2021)
Meera Jasmine,Queen Elizabeth (2023)
Narain,Queen Elizabeth (2023)
Neena Kurup,Queen Elizabeth (2023)
Bukunmi Adeaga-Ilori,Queen Lateefah (2024)
Femi Adebayo,Queen Lateefah (2024)
Lateef Adedimeji,Queen Lateefah (2024)
Daniel Auteuil,Queen Margot (1994)
Isabelle Adjani,Queen Margot (1994)
Jean-Hugues Anglade,Queen Margot (1994)
Keiko Han,Queen Millennia (1982)
Keiko Toda,Queen Millennia (1982)
Elisabeth Moss,Queen of Earth (2015)
Katherine Waterston,Queen of Earth (2015)
Patrick Fugit,Queen of Earth (2015)
Dick Wei,Queen of Gambler (1991)
Kara Ying Hung Wai,Queen of Gambler (1991)
Yeong Fang Usang,Queen of Gambler (1991)
Gustav Lindh,Queen of Hearts (2019)
Trine Dyrholm,Queen of Hearts (2019)
Deanie Ip,Queen of Kowloon (2000)
Suki Kwan,Queen of Kowloon (2000)
Yiu-Cheung Lai,Queen of Kowloon (2000)
Drea de Matteo,Queen of Manhattan (2022)
Esai Morales,Queen of Manhattan (2022)
Jesse Metcalfe,Queen of Manhattan (2022)
Dongdong Xu,Queen of Triads (2022)
Kent Tong,Queen of Triads (2022)
Michael Tse,Queen of Triads (2022)
James Franco,Queen of the Desert (2015)
Nicole Kidman,Queen of the Desert (2015)
Robert Pattinson,Queen of the Desert (2015)
Christopher Rydell,Queen of the Lot (2010)
Noah Wyle,Queen of the Lot (2010)
Tanna Frederick,Queen of the Lot (2010)
Emily Bett Rickards,Queen of the Ring (2024)
Josh Lucas,Queen of the Ring (2024)
Tyler Posey,Queen of the Ring (2024)
Francis Renaud,Queen to Play (2009)
Kevin Kline,Queen to Play (2009)
Sandrine Bonnaire,Queen to Play (2009)
Alfred Cheung,Queen's Bench III (1990)
Carina Lau,Queen's Bench III (1990)
Tony Ka Fai Leung,Queen's Bench III (1990)
Gigi Lai,"Queenie & King, the Lovers (2000)"
Ken Wong,"Queenie & King, the Lovers (2000)"
Tat-Ming Cheung,"Queenie & King, the Lovers (2000)"
Carmen Maura,Queens (2005)
Marisa Paredes,Queens (2005)
Verónica Forqué,Queens (2005)
John Malkovich,Queens Logic (1991)
Kevin Bacon,Queens Logic (1991)
Linda Fiorentino,Queens Logic (1991)
Lizzy Caplan,Queens of Country (2012)
Matt Walsh,Queens of Country (2012)
Ron Livingston,Queens of Country (2012)
Alban Ivanov,Queens of the Field (2019)
Céline Sallette,Queens of the Field (2019)
Kad Merad,Queens of the Field (2019)
Brad Davis,Querelle (1982)
Franco Nero,Querelle (1982)
Jeanne Moreau,Querelle (1982)
Eva Hamilton,Quest for Love (2022)
Jake Stormoen,Quest for Love (2022)
Annie Girardot,Question of Love (1978)
Bibi Andersson,Question of Love (1978)
Michel Galabru,Question of Love (1978)
Anna Galiena,Question of Luck (1997)
Eduardo Noriega,Question of Luck (1997)
Marta Belaustegui,Question of Luck (1997)
Antonio Albanese,Questione di cuore (2009)
Kim Rossi Stuart,Questione di cuore (2009)
Micaela Ramazzotti,Questione di cuore (2009)
Bernard Le Coq,Qui m'aime me suive! (2019)
Catherine Frot,Qui m'aime me suive! (2019)
Daniel Auteuil,Qui m'aime me suive! (2019)
Fernando Poe Jr.,Quiapo Kid (1986)
Maricel Soriano,Quiapo Kid (1986)
Sheryl Cruz,Quiapo Kid (1986)
Jeff Fahey,Quick (1993)
Martin Donovan,Quick (1993)
Teri Polo,Quick (1993)
Kang Ye-won,Quick (2011)
Kim In-kwon,Quick (2011)
Lee Min-ki,Quick (2011)
Alba August,Quick (2019)
David Dencik,Quick (2019)
Jonas Karlsson,Quick (2019)
Bill Murray,Quick Change (1990)
Geena Davis,Quick Change (1990)
Randy Quaid,Quick Change (1990)
Ben Gazzara,Quicker Than the Eye (1988)
Jean Yanne,Quicker Than the Eye (1988)
Mary Crosby,Quicker Than the Eye (1988)
Judith Godrèche,Quicksand (2003)
Michael Caine,Quicksand (2003)
Michael Keaton,Quicksand (2003)
Jami Gertz,Quicksilver (1986)
Kevin Bacon,Quicksilver (1986)
Paul Rodriguez,Quicksilver (1986)
Leonardo Nam,Quid Pro Quo (2008)
Nick Stahl,Quid Pro Quo (2008)
Vera Farmiga,Quid Pro Quo (2008)
Isabella Ferrari,Quiet Chaos (2008)
Nanni Moretti,Quiet Chaos (2008)
Valeria Golino,Quiet Chaos (2008)
Adam Coleman Howard,Quiet Cool (1986)
Daphne Ashbrook,Quiet Cool (1986)
James Remar,Quiet Cool (1986)
Andrew McCarthy,Quiet Days in Clichy (1990)
Barbara De Rossi,Quiet Days in Clichy (1990)
Nigel Havers,Quiet Days in Clichy (1990)
Hidekazu Akai,Quiet Days of Firemen (1994)
Kyôka Suzuki,Quiet Days of Firemen (1994)
Naoto Takenaka,Quiet Days of Firemen (1994)
Claudia Christian,Quiet Kill (2004)
Corbin Bernsen,Quiet Kill (2004)
Ron Perlman,Quiet Kill (2004)
Alan Rickman,Quigley Down Under (1990)
Laura San Giacomo,Quigley Down Under (1990)
Tom Selleck,Quigley Down Under (1990)
Kaoru Kobayashi,Quill: The Life of a Guide Dog (2004)
Kippei Shîna,Quill: The Life of a Guide Dog (2004)
Teruyuki Kagawa,Quill: The Life of a Guide Dog (2004)
Geoffrey Rush,Quills (2000)
Joaquin Phoenix,Quills (2000)
Kate Winslet,Quills (2000)
Fernando Rey,Quintet (1979)
Paul Newman,Quintet (1979)
Vittorio Gassman,Quintet (1979)
Anders Danielsen Lie,Quisling: The Final Days (2024)
Gard B. Eidsvold,Quisling: The Final Days (2024)
Lisa Carlehed,Quisling: The Final Days (2024)
Diora Baird,Quit (2010)
Nathan Phillips,Quit (2010)
Noah Segan,Quit (2010)
Awkwafina,Quiz Lady (2023)
Sandra Oh,Quiz Lady (2023)
Will Ferrell,Quiz Lady (2023)
John Turturro,Quiz Show (1994)
Ralph Fiennes,Quiz Show (1994)
Rob Morrow,Quiz Show (1994)
Feroz Khan,Qurbani (1980)
Vinod Khanna,Qurbani (1980)
Anju Ghosh,Qurbani (1985)
Jashim,Qurbani (1985)
Wasim,Qurbani (1985)
Dharmendra,Qurbani Jatt Di (1990)
Gurdas Maan,Qurbani Jatt Di (1990)
Preeti Sapru,Qurbani Jatt Di (1990)
Padmini Kolhapure,Qurbani Rang Layegi (1991)
Poonam Dhillon,Qurbani Rang Layegi (1991)
Sanjay Dutt,Qurbani Rang Layegi (1991)
Alberto Rojas,Qué buena está mi ahijada (1987)
Lina Santos,Qué buena está mi ahijada (1987)
Roberto 'Flaco' Guzmán,Qué buena está mi ahijada (1987)
Kam Woo-seong,R-Point (2004)
Lee Sun-kyun,R-Point (2004)
Son Byung-ho,R-Point (2004)
Shahid Kapoor,R... Rajkumar (2013)
Sonakshi Sinha,R... Rajkumar (2013)
Sonu Sood,R... Rajkumar (2013)
Alice Pol,R.A.I.D. Special Unit (2016)
Dany Boon,R.A.I.D. Special Unit (2016)
Michel Blanc,R.A.I.D. Special Unit (2016)
Pascal Elbé,R.I.F. (2011)
Valentina Cervi,R.I.F. (2011)
Yvan Attal,R.I.F. (2011)
Jeff Bridges,R.I.P.D. (2013)
Mary-Louise Parker,R.I.P.D. (2013)
Ryan Reynolds,R.I.P.D. (2013)
Haru,R246 Story (2008)
Hirofumi Arai,R246 Story (2008)
Tadanobu Asano,R246 Story (2008)
Antony Varghese,RDX: Robert Dony Xavier (2023)
Neeraj Madhav,RDX: Robert Dony Xavier (2023)
Shane Nigam,RDX: Robert Dony Xavier (2023)
Bruce Willis,RED (2010)
Helen Mirren,RED (2010)
Morgan Freeman,RED (2010)
Bruce Willis,RED 2 (2013)
Helen Mirren,RED 2 (2013)
John Malkovich,RED 2 (2013)
Anthony Falcon,REquieme! (2012)
Rez Cortez,REquieme! (2012)
Shamaine Buencamino,REquieme! (2012)
Mallika Sherawat,RK/RKAY (2021)
Rajat Kapoor,RK/RKAY (2021)
Ranvir Shorey,RK/RKAY (2021)
Aga Muhlach,RPG Metanoia (2010)
Vhong Navarro,RPG Metanoia (2010)
David Arquette,RPM (1997)
Emmanuelle Seigner,RPM (1997)
Famke Janssen,RPM (1997)
Ajay Devgn,RRR (2022)
N.T. Rama Rao Jr.,RRR (2022)
Ram Charan,RRR (2022)
K. Selvaraghavan,RT4GM (2024)
Rashmika Mandanna,RT4GM (2024)
Ravi Teja,RT4GM (2024)
Kad Merad,RTT (2009)
Manu Payet,RTT (2009)
Mélanie Doutey,RTT (2009)
Cheryl Hines,RV (2006)
Kristin Chenoweth,RV (2006)
Robin Williams,RV (2006)
Kim Hae-sook,RV: Resurrected Victims (2017)
Kim Rae-won,RV: Resurrected Victims (2017)
Sung Dong-il,RV: Resurrected Victims (2017)
Kartikeya Gummakonda,RX 100 (2018)
Payal Rajput,RX 100 (2018)
Ramki,RX 100 (2018)
Kartikeya Gummakonda,RX100 (An Incredible Love Story) (2018)
Payal Rajput,RX100 (An Incredible Love Story) (2018)
Rao Ramesh,RX100 (An Incredible Love Story) (2018)
Kareena Kapoor,Ra.One (2011)
Shah Rukh Khan,Ra.One (2011)
Chammak Chandra,Raa Raa (2018)
Mohammad Ali,Raa Raa (2018)
Raghu Babu,Raa Raa (2018)
Deepika Padukone,Raabta (2017)
Kriti Sanon,Raabta (2017)
Hiten Kumar,Raado (2022)
Hitu Kanodia,Raado (2022)
Yash Soni,Raado (2022)
Milind Gunaji,Raag (2021)
Rakesh Bedi,Raag (2021)
Sudha Chandran,Raag (2021)
Dharmendra,Raaj Tilak (1984)
Hema Malini,Raaj Tilak (1984)
Sunil Dutt,Raaj Tilak (1984)
Kamal Haasan,Raaja Paarvai (1981)
Madhavi,Raaja Paarvai (1981)
Y.G. Mahendran,Raaja Paarvai (1981)
Priya Anand,Raajakumara (2017)
Puneeth Rajkumar,Raajakumara (2017)
R. Sarathkumar,Raajakumara (2017)
Ajay Devgn,Raajneeti (2010)
Nana Patekar,Raajneeti (2010)
Ranbir Kapoor,Raajneeti (2010)
Aamir Khan,Raakh (1989)
Pankaj Kapur,Raakh (1989)
Supriya Pathak,Raakh (1989)
Mithun Chakraborty,Raakh: A Poem Masked in Blood (2009)
Sohail Khan,Raakh: A Poem Masked in Blood (2009)
Gajala,Raam (2005)
Jiiva,Raam (2005)
Saranya Ponvannan,Raam (2005)
Dhanush,Raanjhanaa (2013)
Mohd. Zeeshan Ayyub,Raanjhanaa (2013)
Sonam Kapoor,Raanjhanaa (2013)
Santosh Juvekar,Raanti (2024)
Shanvi Srivastava,Raanti (2024)
Sharad Kelkar,Raanti (2024)
Ajith Kumar,Raasi (1997)
Prakash Raj,Raasi (1997)
Rambha,Raasi (1997)
Om Puri,Raat (1992)
Revathi,Raat (1992)
Rohini Hattangadi,Raat (1992)
Dalip Tahil,"Raat Gayi, Baat Gayi? (2009)"
Rajat Kapoor,"Raat Gayi, Baat Gayi? (2009)"
Vinay Pathak,"Raat Gayi, Baat Gayi? (2009)"
Hareesh Peradi,Raatchasi (2019)
Jyotika,Raatchasi (2019)
Poornima Jayaram,Raatchasi (2019)
Abhishek Bachchan,Raavan (2010)
Aishwarya Rai Bachchan,Raavan (2010)
Govinda,Raavan (2010)
Aishwarya Rai Bachchan,Raavanan (2010)
Prithviraj Sukumaran,Raavanan (2010)
Vikram,Raavanan (2010)
Aparna Balamurali,Raayan (2024)
Devadarshini Chetan,Raayan (2024)
Dhanush,Raayan (2024)
Bipasha Basu,Raaz 3 (2012)
Emraan Hashmi,Raaz 3 (2012)
Esha Gupta,Raaz 3 (2012)
Adhyayan Suman,Raaz: The Mystery Continues (2009)
Emraan Hashmi,Raaz: The Mystery Continues (2009)
Kangana Ranaut,Raaz: The Mystery Continues (2009)
Alia Bhatt,Raazi (2018)
Rajit Kapoor,Raazi (2018)
Vicky Kaushal,Raazi (2018)
Anushka Sharma,Rab Ne Bana Di Jodi (2008)
Shah Rukh Khan,Rab Ne Bana Di Jodi (2008)
Mandy Takhar,Rabb Da Radio (2017)
Simi Chahal,Rabb Da Radio (2017)
Tarsem Jassar,Rabb Da Radio (2017)
Simi Chahal,Rabb Da Radio 2 (2019)
Tania,Rabb Da Radio 2 (2019)
Tarsem Jassar,Rabb Da Radio 2 (2019)
Adelaide Clemens,Rabbit (2017)
Alex Russell,Rabbit (2017)
Babak Hamidian,Rabbit (2018)
Javad Ezati,Rabbit (2018)
Siamak Ansari,Rabbit (2018)
Aaron Eckhart,Rabbit Hole (2010)
Dianne Wiest,Rabbit Hole (2010)
Nicole Kidman,Rabbit Hole (2010)
Bogdan Stupka,Rabbit Over the Void (2006)
Sergey Gazarov,Rabbit Over the Void (2006)
Vladimir Ilin,Rabbit Over the Void (2006)
Matthias Schweighöfer,Rabbit Without Ears (2007)
Nora Tschirner,Rabbit Without Ears (2007)
Til Schweiger,Rabbit Without Ears (2007)
N.T. Rama Rao Jr.,Rabhasa (2014)
Pranitha Subhash,Rabhasa (2014)
Samantha Ruth Prabhu,Rabhasa (2014)
Guillaume Gouix,Rabid Dogs (2015)
Lambert Wilson,Rabid Dogs (2015)
Virginie Ledoyen,Rabid Dogs (2015)
Akshaye Khanna,Race (2008)
Anil Kapoor,Race (2008)
Saif Ali Khan,Race (2008)
Anil Kapoor,Race 2 (2013)
John Abraham,Race 2 (2013)
Saif Ali Khan,Race 2 (2013)
Anil Kapoor,Race 3 (2018)
Bobby Deol,Race 3 (2018)
Salman Khan,Race 3 (2018)
Allu Arjun,Race Gurram (2014)
Shaam,Race Gurram (2014)
Shruti Haasan,Race Gurram (2014)
Alex McArthur,Race for Glory (1989)
Pamela Ludwig,Race for Glory (1989)
Peter Berg,Race for Glory (1989)
Bill Hunter,Race the Sun (1996)
Halle Berry,Race the Sun (1996)
Jim Belushi,Race the Sun (1996)
Alex D. Linz,Race to Space (2001)
James Woods,Race to Space (2001)
William Atherton,Race to Space (2001)
AnnaSophia Robb,Race to Witch Mountain (2009)
Carla Gugino,Race to Witch Mountain (2009)
Dwayne Johnson,Race to Witch Mountain (2009)
Bo-Chieh Wang,Racer Legend (2011)
Janine Chang Chun-Ning,Racer Legend (2011)
Shawn Dou,Racer Legend (2011)
Bharat Gopy,Rachana (1983)
Nedumudi Venu,Rachana (1983)
Srividya,Rachana (1983)
Ajmal Ameer,Rachcha (2012)
Ram Charan,Rachcha (2012)
Tamannaah Bhatia,Rachcha (2012)
Anne Hathaway,Rachel Getting Married (2008)
Debra Winger,Rachel Getting Married (2008)
Rosemarie DeWitt,Rachel Getting Married (2008)
Jerry Butler,Rachel Ryan RR (1988)
Kim Angeli,Rachel Ryan RR (1988)
Tracey Adams,Rachel Ryan RR (1988)
Fanny Ardant,Rachel's Game (2023)
Mathieu Kassovitz,Rachel's Game (2023)
Nicolas Duvauchelle,Rachel's Game (2023)
Ali Suliman,Racing Hearts (2014)
Anthony Head,Racing Hearts (2014)
Jamie Dornan,Racing Hearts (2014)
David Spade,Racing Stripes (2005)
Frankie Muniz,Racing Stripes (2005)
Snoop Dogg,Racing Stripes (2005)
Elizabeth McGovern,Racing with the Moon (1984)
